sim_time,veh_id,type,edge,lane,lane_pos,x,y,speed,accel,angle,route_id,leader_id,gap_to_leader
6.8,veh_8,truck,S2N_A2,S2N_A2_0,26.32,601.6,373.68,9.084,-0.277,180.0,north2west,veh_2,24.892
6.8,veh_9,car,A0_A1,A0_A1_1,22.48,22.48,204.8,14.844,0.027,90.0,east_main,veh_1,67.483
7.0,veh_1,car,A0_A1,A0_A1_1,99.94,99.94,204.8,14.846,-0.193,90.0,east_main,,
7.0,veh_10,mtw,S2N_A2,S2N_A2_0,9.15,601.6,390.85,8.581,0.214,180.0,north2west,veh_8,8.491
7.0,veh_11,auto,A5_A4,A5_A4_1,5.66,1494.34,195.5,12.792,-1.041,270.0,west_main,,
7.0,veh_2,auto,S2N_A2,S2N_A2_0,58.55,601.6,341.45,9.167,-0.221,180.0,north2west,,
7.0,veh_3,car,S4N_A4,S4N_A4_0,54.71,1201.6,345.29,10.042,0.034,180.0,north4east,,
7.0,veh_4,car,S4N_A4,S4N_A4_0,40.56,1201.6,359.44,9.225,0.296,180.0,north4east,veh_3,7.154
7.0,veh_5,bus,S2S_A2,S2S_A2_0,49.92,598.4,49.92,9.939,-0.201,0.0,south2east,,
7.0,veh_6,bus,S4N_A4,S4N_A4_0,26.22,1201.6,373.78,7.182,0.942,180.0,north4east,veh_4,7.342
7.0,veh_7,car,S4N_A4,S4N_A4_0,8.93,1201.6,391.07,4.811,1.367,180.0,north4east,veh_6,2.787
7.0,veh_8,truck,S2N_A2,S2N_A2_0,28.15,601.6,371.85,9.103,0.096,180.0,north2west,veh_2,24.905
7.0,veh_9,car,A0_A1,A0_A1_1,25.46,25.46,204.8,14.855,0.055,90.0,east_main,veh_1,67.481
7.2,veh_1,car,A0_A1,A0_A1_1,102.93,102.93,204.8,14.973,0.636,90.0,east_main,,
7.2,veh_10,mtw,S2N_A2,S2N_A2_0,10.87,601.6,389.13,8.603,0.109,180.0,north2west,veh_8,8.587
7.2,veh_11,auto,A5_A4,A5_A4_1,8.21,1491.79,195.5,12.764,-0.138,270.0,west_main,,
7.2,veh_2,auto,S2N_A2,S2N_A2_0,60.39,601.6,339.61,9.204,0.184,180.0,north2west,,
7.2,veh_3,car,S4N_A4,S4N_A4_0,56.73,1201.6,343.27,10.092,0.249,180.0,north4east,,
7.2,veh_4,car,S4N_A4,S4N_A4_0,42.41,1201.6,357.59,9.271,0.23,180.0,north4east,veh_3,7.318
7.2,veh_5,bus,S2S_A2,S2S_A2_0,51.91,598.4,51.91,9.936,-0.016,0.0,south2east,,
7.2,veh_6,bus,S4N_A4,S4N_A4_0,27.67,1201.6,372.33,7.27,0.442,180.0,north4east,veh_4,7.742
7.2,veh_7,car,S4N_A4,S4N_A4_0,9.94,1201.6,390.06,5.053,1.206,180.0,north4east,veh_6,3.231
7.2,veh_8,truck,S2N_A2,S2N_A2_0,29.96,601.6,370.04,9.084,-0.095,180.0,north2west,veh_2,24.929
7.2,veh_9,car,A0_A1,A0_A1_1,28.44,28.44,204.8,14.938,0.416,90.0,east_main,veh_1,67.488
7.4,veh_1,car,A0_A1,A0_A1_1,105.92,105.92,204.8,14.921,-0.258,90.0,east_main,,
7.4,veh_10,mtw,S2N_A2,S2N_A2_0,12.58,601.6,387.42,8.53,-0.364,180.0,north2west,veh_8,8.703
7.4,veh_11,auto,A5_A4,A5_A4_1,10.79,1489.21,195.5,12.89,0.63,270.0,west_main,,
7.4,veh_12,car,S4S_A4,S4S_A4_0,4.6,1198.4,4.6,8.569,0.0,0.0,south4north,,
7.4,veh_2,auto,S2N_A2,S2N_A2_0,62.27,601.6,337.73,9.381,0.886,180.0,north2west,,
7.4,veh_3,car,S4N_A4,S4N_A4_0,58.74,1201.6,341.26,10.047,-0.227,180.0,north4east,,
7.4,veh_4,car,S4N_A4,S4N_A4_0,44.28,1201.6,355.72,9.351,0.402,180.0,north4east,veh_3,7.457
7.4,veh_5,bus,S2S_A2,S2S_A2_0,53.89,598.4,53.89,9.931,-0.028,0.0,south2east,,
7.4,veh_6,bus,S4N_A4,S4N_A4_0,29.16,1201.6,370.84,7.458,0.937,180.0,north4east,veh_4,8.121
7.4,veh_7,car,S4N_A4,S4N_A4_0,10.99,1201.6,389.01,5.258,1.026,180.0,north4east,veh_6,3.671
7.4,veh_8,truck,S2N_A2,S2N_A2_0,31.78,601.6,368.22,9.108,0.121,180.0,north2west,veh_2,24.983
7.4,veh_9,car,A0_A1,A0_A1_1,31.42,31.42,204.8,14.886,-0.264,90.0,east_main,veh_1,67.495
7.6,veh_1,car,A0_A1,A0_A1_1,108.91,108.91,204.8,14.994,0.362,90.0,east_main,,
7.6,veh_10,mtw,S2N_A2,S2N_A2_0,14.32,601.6,385.68,8.672,0.71,180.0,north2west,veh_8,8.788
7.6,veh_11,auto,A5_A4,A5_A4_1,13.35,1486.65,195.5,12.796,-0.47,270.0,west_main,,
7.6,veh_12,car,S4S_A4,S4S_A4_0,6.31,1198.4,6.31,8.55,-0.093,0.0,south4north,,
7.6,veh_2,auto,S2N_A2,S2N_A2_0,64.12,601.6,335.88,9.264,-0.584,180.0,north2west,,
7.6,veh_3,car,S4N_A4,S4N_A4_0,60.74,1201.6,339.26,10.009,-0.187,180.0,north4east,,
7.6,veh_4,car,S4N_A4,S4N_A4_0,46.14,1201.6,353.86,9.301,-0.249,180.0,north4east,veh_3,7.599
